trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.5, 'e': 0.32465246735834974}",30,11,-1.7951051405430825,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.3217437042203702}",25,12,-14.836140248691033,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.3188610024983463}",30,16,13.528965263357346,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.31600412869186256}",25,11,11.635850966688507,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.31317285139257856}",25,5,-76.80804079531087,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.31036694126548503}",30,1,-32.969243023563,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.30758617103032765}",20,4,-0.12319404016962743,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.30483031544319683}",20,16,7.666149856045078,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.30209915127828346}",20,13,2.917428589013733,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2993924573097967}",25,17,-28.137470790955696,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2967100142940453}",30,0,5.3990310953604785,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.29405160495167837}",25,11,-18.86028339173791,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.29141701395008573}",20,16,7.907201864281968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.28880602788595566}",20,5,-19.988747204400678,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
